movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;Unnamed: 10;Unnamed: 11;rel_inc;abs_inc
the-darjeeling-limited;9;RobertSimpson;/user/RobertSimpson;Jan 31;2011;[];0;0.0;0.0;0.0;;inf;9
get-him-to-the-greek;5;Dorrbecker;/user/Dorrbecker;Jan 24;2011;[];0;3.0;0.0;3.0;;inf;5
mirror-mirror;5;Pelen23;/user/Pelen23;Jul 25;2014;"[ ""Another Snow White disappointment. The film suffers from not being able to decide  whether it is a family film or a sarcastic Snow White spoof. There are good funny moments for adults then turns into a disneyish child's film. Julia Roberts is great as the evil Queen though."" ]";0;1.0;0.0;1.0;;inf;5
no-country-for-old-men;4;schmageggey;/user/schmageggey;Jan 22;2014;"[ ""After just seeing the Coen Brother's masterpiece \""Inside Llewyn Davis\"" I decided to go back and re-watch some of their previous movies. I started with No Country for Old Men. I have tried very hard to enjoy this movie and see what all the fuss is about but I can't. It is a great looking movie and some interesting scenes especially the shootout where Llewellyn and Anton first butt heads, but that's about it. First off, I thought Anton Chigurh was a terrible character. Everyone says how menacing he is, but he's just ridiculous. Secondly, I don't get Tommy Lee Jones significance. His character doesn't do a damn thing in the whole movie and serves virtually no purpose. Josh Brolin did a really good job as per usual, but besides that, the movie is just bland and overblown to be something it obviously isn't."" ]";0;1.0;0.0;1.0;;inf;4
snow-white-and-the-huntsman;3;Pelen23;/user/Pelen23;Jul 25;2014;[];0;0.0;0.0;0.0;;inf;3
saw-3d;2;Wolfmother;/user/Wolfmother;Oct 31;2010;"[ ""spoilers: Im a big fan of saw and loved all 6 of them. But saw 7 was just disappointing. Saw 7 was supposed to be the collision of ALL 6 movies combined. We wanted to know more about the man we have been waiting to see for the past 7 years.(Gordon) The justification for Bobby and his victims were so dumb. If you like watching people die then you will like it. There are plenty of loose ends and you would think that there would be a saw 8 because of the unanswered questions. Why has Gordon assisted Jigsaw? What happened to Easton's killers,sister, and saved victims? Why did they just lazily scrap the 2 victims of saw 5? What happened to Gordon's family? I assume the other 2 pigmaks resemble Gordon's appretinces as he takes on the rightful role as Jiggsaw. Now, the point of Bobby was so that since he could not understand the pain of being a victim, he had no power to save others, but he did. He helped alot of people appreciate life. Who cares if he lied, he may have been in it for fame and fortune but what he got wasnt justified, it was a cheap excuse to put more traps. Bobby's victims were even more innocent. You put in traps because you dont appreciate life or your ruining someone elses. They didnt do either. There wasnt much of Tobin(Jiggsaw), he only had like 1 scene. Saw1-6 were true to the series giving deserving punishments with great twists. But saw 7 wasnt. You would expect the last one to be the best. Why didnt Gordon return for Adam? Throughout the movie, your supposed to be fixated on Hoffman and Bobby, but the fans are obviously on their toes, waiting for Gordon. Many things are unanswered but to be honest, its somewhat implied. But we really want to see why Gordon became the new Jiggsaw. Saw has a knack for giving us a great ending that will make us want to come back to see the sequel so we can find the answers to the questions we have been wondering. Saw 7 does the same except provides no sequels so no answers. People criticize it for saw 7 trying to tie up loose ends instead of tell a story, but they didnt even tie up the loose ends, some of it is still loose. Ok im done, ill be in my angry dome, drinking cups of anger tea."" ]";0;1.0;0.0;1.0;;inf;2
jaws;2;Pelen23;/user/Pelen23;Jul 24;2014;"[ ""The film is still very fresh , looks good on screen. I really like the first half of the film , very suspenseful. However in the second half of the film , everything goes down the hill. It turns into a boredome with endless conversations and repetitive  action scenes and also john Williams's iconic score is really good and tense but in the boat scenes the music turns into heroic and adventurous ( borderline Disney ) that tones down the film and loses its suspense."" ]";1;5.0;1.0;4.0;;inf;2
easy-a;1;Dorrbecker;/user/Dorrbecker;Jan 23;2011;[];0;0.0;0.0;0.0;;inf;1
scott-pilgrim-vs-the-world;1;Dorrbecker;/user/Dorrbecker;Jan 24;2011;[];2;8.0;2.0;6.0;;inf;1
close-encounters-of-the-third-kind;1;Pelen23;/user/Pelen23;Aug  4;2016;"[ ""Close Encouters of the Third Kind's biggest selling point is its visual effects. Even today , they look good.however the whole movie is plotless. Rory's argument with his wife takes a lot of screen time yet it never developes story how the other characters and effected UFO's visiting the Earth ."" ]";1;3.0;1.0;2.0;;inf;1
the-sixth-sense;1;Pelen23;/user/Pelen23;Jul 20;2014;"[ ""Sadly, the sixth sense was a missed opportunity  because of its badly written plot that relays on the twist ending. no real suspense, underwritten mother character , some scenes lead absolute nowhere, scenes  contradicts each other.the main plot ends in a lame way and the twist ending comes from the subplot tries to save the film. Therefore, no suspense not even hints of suspicion to create tension ."" ]";1;13.0;1.0;12.0;;inf;1
american-sniper;1;Pelen23;/user/Pelen23;Jan 19;2015;"[ ""Yet another offensive and embarrassing film from Hollywood . If people think it is a character study , it is a total failure . No characters flesh up apart from Chris Kyle and a pointless sienna miller keeps saying \"" you must be a human again \"" .oh ! and that fake baby . And this film has been nominated for best oscar? You gotta be kidding ."" ]";14;33.0;14.0;19.0;;inf;1
the-revenant-2015;1;Pelen23;/user/Pelen23;Jan 30;2016;"[ ""Does a spectacular view make a good film? Oh no, a film good needs great character and an interesting story.however the revenant has a thing story that is stretched to almost 3 hrs with gruesome details. Th revenant is a technical show off ,not a great film"" ]";4;9.0;4.0;5.0;;inf;1
o-brother-where-art-thou;10;Diablo92;/user/Diablo92;Jun  2;2013;"[ ""This film was the best.. They did so terrific on this movie and will continue to be the best till the end of time. The soundtrack is excellent. Everything in this is perfect and just the way it should be, no more and no less.... I would love to see another movie like this be released in the future and of course put alot of work into it casue this one was great and the next one would also need to be great."", """", ""I love films thats old or old and western style... Just pure excellent. 10/10"" ]";0;0.0;0.0;0.0;;10.0;9
zombieland;10;TheNewSpielberg;/user/TheNewSpielberg;May  2;2011;"[ ""Twinkies, zombies, Woody Harrelson playing a total badass and two hot chicks. Plus a nerdy computer geek. What could possibly go wrong. When I first saw the trailer back in 2009, I thought it was just another dumb comedy movie, but instead I was given eye candy every minute, and loved it enough to include it in my countdown of my top favorite movies of all time. Ruben Fleischer should receive a medal. In the words of Tallahassee, time to nut up or shut up!"" ]";1;1.0;1.0;0.0;;10.0;9
the-dark-knight;10;TheNewSpielberg;/user/TheNewSpielberg;May  1;2011;"[ ""This movie is really just trying to disguise what it is. What it is is just another Batman movie. It added pointless layers of depth to itself so that critics could not write it off as another superhero movie. I liked it when it was just Batman beating the crap out of criminals, and not Batman being a political figure. I usually like Christopher Nolan movies, but he really was overloading this one and makes it complicated enough that the regular audience of Batman films (6-10 yr olds) wont enjoy it and end up calling it boring. In short, great as a superhero movie and confused as a political thriller."" ]";2;5.0;2.0;3.0;;10.0;9
shaun-of-the-dead;10;TheNewSpielberg;/user/TheNewSpielberg;May  2;2011;"[ ""Simon Pegg, Nick Frost and Edgar Wright could be described as the new Three Stooges, having given us so many wonderfully funny treats each year. However, their 2004 \""romzomcom\"" shot them to stardom and single-handedly managed to revive British horror. Shaun is a young man working in an electrical store has a rocky relationship with his mum, his girlfriend Liz is on the verge of dumping him and his best mate Ed is a complete slob who spends his days on Shaun's couch playing videogames and drinking beer, When he finally decides to get off his feet and sort his life out, a zombie invasion takes place but Shaun merely sees it as another obstacle. When he rounds up his family and friends and takes them to his local pub to try and survive the night. A real treat for all fans of British comedy and at the same time a gorefest that harkens back to the days of Peter Jackson's Braindead. Bloody brilliant."" ]";2;4.0;2.0;2.0;;10.0;9
dawn-of-the-dead;10;TheNewSpielberg;/user/TheNewSpielberg;May  1;2011;"[ ""As much as I love Romero's 1978 classic, I must agree with fellow movie buffs who say that this particular remake was unfairly prejudiced and slandered upon release. The movie sticks pretty much to the basic plot; a group of people hide out in an abandoned shopping center during a zombie apocalypse. That's all there is to it. The acting was good and some of the comedy moments were actually pretty funny (Hollywood Squares, anyone?). Of course, seeing as it was shot in the modern era of the zombie flick, there is just enough blood and huts to satisfy any gorehound. The zombies looked scary and WERE scary simply due to the fact that they could sprint (a cliche started by 28 Days Later). The heavy metal soundtrack really helped the atmosphere of a zombie invasion and went great with zombie-killing. In sum, an underrated horror movie."" ]";6;7.0;6.0;1.0;;10.0;9
planet-of-the-apes;10;TheNewSpielberg;/user/TheNewSpielberg;Feb 11;2012;"[ ""This mediocre piece of film making is one of, if not the worst remake of all time. Over the top acting, a boring and predictable plot as well as some freakishly realistic makeup make this one definitely worth avoiding. The original will always remain the classic."" ]";0;2.0;0.0;2.0;;10.0;9
the-fly;10;TheNewSpielberg;/user/TheNewSpielberg;Jun  5;2011;"[ ""One of my all time favorites from the 1980s horror cycle. A scientist's genes are mixed with that of a common house fly and soon he begins to transform into a giant half man, half fly creature. In the meantime he is helped through his deeply horrifying problem by his loving girlfriend. I love the effects, which still look realistic here in 2011 and the music is amazing and sounds more like an operatic piece than a horror soundtrack. All in all, I LOVE THIS FILM!"" ]";2;2.0;2.0;0.0;;10.0;9
the-shawshank-redemption;10;TheNewSpielberg;/user/TheNewSpielberg;May  2;2011;[];4;6.0;4.0;2.0;;10.0;9
evil-dead-ii;10;TheNewSpielberg;/user/TheNewSpielberg;Apr  7;2011;"[ ""This movie is possibly one of the wackiest and hilarious films ever released. Sam Raimi returns once again to the horrors of the Book of the Dead, along with star Bruce Campbell, the king of B-movies. The plot is pretty much the same as the original; Ash and his girlfriend Linda  venture to a cabin in the middle of a dark and unidentified forest. Ash finds a strange looking book and when he recites passages from it, he ressurects a dark spirit in the woods, and summons all kinds of crazy demons and monsters. The blood flies in some very imaginative ways. Heads get lopped off, demons get blown up and numerous people get zombified. It also has a focus on comedy thats just adds to how entertaining this movie really is. In sum, a great movie to watch on Halloween night an one of the most unique horror films around."" ]";3;3.0;3.0;0.0;;10.0;9
pulp-fiction;10;TheNewSpielberg;/user/TheNewSpielberg;May  2;2011;[];35;38.0;35.0;3.0;;10.0;9
the-fifth-element;10;TheNewSpielberg;/user/TheNewSpielberg;May  3;2011;"[ ""One word: OMG! Wacky aliens, an awesome looking New York City, Bruce Willis and Gary Oldman in one of his strangest performances to date. Also, Milla Jovovich as Leeloo; *wolf whistle*. Also it has great lines, some of which I quote on a daily basis (MULTI-PASS, chicken GOOD!). One of my favorite movies EVER!!!!!!"" ]";2;3.0;2.0;1.0;;10.0;9
goodfellas;10;TheNewSpielberg;/user/TheNewSpielberg;Apr  4;2011;"[ ""Just watched this last night. Totally blew me away, drawing me in from the very start. Funny, shocking but overall one of the best of its kind. Martin Scorsese delivers a film experience that anyone who calls themselves a buff NEEDS to experience. I liked the way the whole movie is told in chronological order, showing 30 years of mob life in NYC. Possibly the best gangster film I have seen so far."" ]";3;4.0;3.0;1.0;;10.0;9
2012;10;TheNewSpielberg;/user/TheNewSpielberg;May  1;2011;"[ ""2012 is possibly the single most impressive CGI epic ever released in recent years. As the title obviously states, the movie is about the end of the world and it does a damn good job of portraying it. Sure, the acting and all that other stuff is bad but even if you hated Independence Day you have at least got to appreciate the CGI in this one. Its so good that I have given this movie a perfect 10 simply based on the effects."" ]";0;3.0;0.0;3.0;;10.0;9
paul;10;TheNewSpielberg;/user/TheNewSpielberg;Jun 22;2011;"[ ""I just saw this movie for the first time today and I can now say with complete honesty that it is in my mind one of the funniest movies I have seen so far. I love the comrade between Pegg and Frost, and Seth Rogen was the perfect choice for the alien. The celebrity cameos I thought were cool (look out  for Spielberg) and it also shows you at the very end one of the most famous sci-fi locations of all time. In sum, now one of my favorite movies of 2011."" ]";0;0.0;0.0;0.0;;10.0;9
schindlers-list;9;TheNewSpielberg;/user/TheNewSpielberg;Sep 26;2011;"[ ""A historical drama detailing the life of Oskar Schindler, who used his money to save over a thousand Jews during the Second World War. Seen as a sort of companion piece to Spielberg's other war epic Saving Private Ryan (1998) , this film is more factual and contains less action so that when you do see it, it is all the more horrifying. I was blown away by Liam Neeson's performance and I now consider it his best role, next only to Michael Collins. Another notable performance is Ralph Fiennes as the evil, cold blooded and militant psycho Amon Goeth, who was hung after Germany surrended for crimes against humanity. My only complaints would be that the accents are sometimes difficult to make out and that it is heavily depressing."" ]";0;1.0;0.0;1.0;;9.0;8
the-professional;9;TheNewSpielberg;/user/TheNewSpielberg;May  2;2011;"[ ""Just finished watching this movie a few minutes ago. An unbelievable rollercoaster ride that had me hooked from the very start. The only bad things I can think of are the musical choices and Jean Reno's heavy French accent throughout. Gary Oldman is actually scary as a drug addicted DEA officer (catch the joke?). Some parts were very slow, but it IS meant to be more dramatic than action packed."" ]";2;2.0;2.0;0.0;;9.0;8
saving-private-ryan;9;TheNewSpielberg;/user/TheNewSpielberg;Apr 28;2011;"[ ""Watching this movie drew me in and shook me to the very core with a gritty, realistic and bloody vision of WWII that makes you think \""was it justified?\"". I usually think that Spielberg's earlier Schindlers List was superior, but seeing this for the first time has changed my outlook completely. One minor complaint is that too many parts of it feel like a full on action movie that could be viewed as disrespectful to the veterans. All in all, a cinematic experience that isn't afraid to shock."" ]";2;3.0;2.0;1.0;;9.0;8
batman;9;TheNewSpielberg;/user/TheNewSpielberg;Apr  1;2011;"[ ""The most successful outing of the Caped Crusader before the 2007 smash hit Dark Knight, the 1989 Tim Burton version offers a straight up comic book movie with a crap load of action, explosions and overall mayhem. Michael Keaton stars as Bruce Wayne, a sly and unassuming businessman who by day deals with documents and contracts and who by night is a one man army, stopping crimes all over Gotham City. He forms a relationship with photojournalist Vicki Vale, played sexily by Kim Basinger, who wants to write a story about the Batman legend and crack the truth once and for all. Meanwhile, a citywide spree of madness and murder is being perpetrated by The Joker, played excellently by Jack Nicholson who is perfect for the role. Quite simply, when it comes to portraying crazy people, he is THE best. As mentioned before, the movie was in the hands of extraordinary artist Tim Burton, four years after his big screen debut with the 1985 comedy Pee-Wee's Big Adventure. The movie looks great, and the DVD quality is top-notch for a movie that is nearly 25 years old. I have to say, this movie in particular is the best looking action movie I have ever had the pleasure of seeing. However, the film does have some flaws, my biggest complaint being a sometimes cheesy soundtrack (Prince). In sum, a truly great film experience that all fans of the genre should check it out."" ]";1;2.0;1.0;1.0;;9.0;8
die-hard;9;TheNewSpielberg;/user/TheNewSpielberg;Apr  2;2011;"[ ""German terrorists, a skyscraper, Christmas Eve and LA. When these elements are combined, you get Die Hard, a 1988 rip-roaring action epic that shot Bruce Willis to international fame. The plot is delightfully simple; John McClane is a New York cop who is visiting his wife Holly in LA during Christmas Eve. He meets up with her at her business company's Christmas party. All goes well until a few uninvited guests in the form of creepy terrorists seize control of the building and take all 30 of the guests hostage, demanding a ransom. McClane, in the bathroom at their time of arrival, escapes into the unfinished skyscraper armed only with his standard issue 9mm at his disposal. His main objective; find out what the hell is going on. His only help is a flatfooted cop on the ground played by Reginald VelJohnson of Family Matters. Along the way, he is listening to radio messages between the villains with a stolen walkie talkie in an attempt to figure out their nefarious plan. Alan Rickman is great as Hans Gruber, leader of the baddies, and delivers a performance he echoes in the Harry Potter films as Prof. Severus Snape. One of the best movie villains of all time. This festival of explosions, guns and epic battles was directed by John McTiernan, famous already for the original Predator. He delivers a movie that entertains as well as it shocks. In particular, the sequence in which one of the hostages attempts to save his own life by offering McClane to the terrorists. Correctly anticipating a liar, Hans shoots him in the head. The film was one of the biggest box office hits of the 1980s and spawned three sequels throughout the 1990s and 2000s, firmly placing John McClane as an action hero alongside the Terminator and Rambo. Also, it is the best Christmas movie ever made."" ]";2;3.0;2.0;1.0;;9.0;8
district-9;9;TheNewSpielberg;/user/TheNewSpielberg;Nov 12;2011;"[ ""At first, I was hesitant due to the overlong opening credits sequence but was blown away by the rest of the film. While I normally despise the overuse of CGI in modern cinema, this film is an example of how to use it both properly and effectively. The aliens look amazing and are nearly always perfectly in sync with the human characters. It is also a highly original concept; in most alien sci-fi films, the aliens come to Earth to destroy our planet, but here they want a peaceful co-existence with mankind, at least that is the basic premise of the plot. In other words, the cliche is reversed in that humans are seen as the main villains and not the aliens, due to the fact all the humans want to exploit the alien technology and make billions in profits. The film also sports some homages to earlier films of this genre, most notably Independence Day (1996), due to the huge mothership that is floating above the city of Johannes burg but never attacks or even moves, and of course the human-alien creature the main character gradually transforms into is a direct reference to The Fly, with similar make-up effects and scenes that show the phenomenon up close, without looking away. Overall, I thoroughly enjoyed the film as far as it went and I await a sequel with great anticipation."" ]";0;0.0;0.0;0.0;;9.0;8
the-woman-in-black;8;TheNewSpielberg;/user/TheNewSpielberg;Jun 28;2012;"[ ""After watching this movie twice a couple of weeks ago, I have to say that this film was one of the most frightening and atmospheric works of modern horror that I have seen so far this year. However, like every single other modern horror film, it relies far too heavily on jump scares and the ending, in my opinion, felt rushed and was a disappointing conclusion to a film that up until that point had been very good as a ghost story. The main reason I loved was because it had the one element that I believe makes an effective horror film or novel; atmosphere. You really felt a sense of the enormous evil that lay within the mansion and just like the main character were constantly on edge and dreaded the dark nights, knowing that the woman in black of the title would have even scarier things in store for you. Overall, I would say that this film was actually very good as a ghost story and despite a few flaws in its structure, it delivers a frightening thrill ride that stays in your memory long after you've seen it. In other words, it is nowhere near as bad as other critics say it is."" ]";0;0.0;0.0;0.0;;8.0;7
the-guard;8;TheNewSpielberg;/user/TheNewSpielberg;Apr 11;2012;"[ ""As an Irishman, I found this film to be very funny and hugely entertaining. I think the main reason this film didn't really work outside of Ireland is that most of the jokes concern Irish politics, culture and general life in Ireland, meaning a few foreign audiences found comedic moments plain confusing rather than hilarious. I also loved Brendan Gleeson's performance as the title character. He perfectly captures the personality and accent of a typical West Irish man and I feel he was a perfect choice for the role. I also thought that Don Cheadle was great too. The only thing I didn't like was that I thought that the Aidan McBride character was given too short of a role in the story and I would have liked to have seen him more, mostly because the chemistry between Sgt. Boyle and him was so great and for me it was a shame McBride was killed off so early in the film. But apart from that, I would easily say this is one of my 10 favorite films of all time."" ]";0;0.0;0.0;0.0;;8.0;7
white-noise;7;TheNewSpielberg;/user/TheNewSpielberg;Jul  3;2011;"[ ""Pretty good with some decent scares and a great performance from Michael Keaton as the architect mourning his wife. The ghost effects I thought were really cool and the whole serial killer sub plot came totally out of the blue for me. In sum, a decent thriller that is a great movie to watch on Halloween."" ]";0;0.0;0.0;0.0;;7.0;6
titanic;7;TheNewSpielberg;/user/TheNewSpielberg;Apr  1;2011;"[ ""James Cameron's 1997 movie epic garnered instant acclaim upon release, grossed over 1 billion dollars at the box office (Avatar would beat this record over a decade later) and was given the dubious honor of being the most expensive production of all time. The plot tells of a poor steerage passenger named Jack Dawson who forms a romantic relationship with first class passenger Rose DeWitt Bukater onboard the \""unsinkable\"" RMS Titanic. The film focuses mainly on the relationship between the duo up until the point the great ship strikes an iceberg and sinks rapidly, transforming it into a typical big budget summer blockbuster that tries to be more than just popcorn entertainment. The acting is decent, with Leonardo DiCaprio and Kate Winslet giving dramatic performances that are fueled by the romance between the two. Billy Zane is also good as Cal Hockley, a wealthy tycoon who plans to marry Rose. Overall, the film is good but one major complaint must be addressed. I think that the film uses one of the greatest tragedies in history to its advantage just a bit too much. Of course, Cameron had been on dives to the real wreck of the actual ship himself during filming and was very much moved by it, but his feelings and emotions towards the events are not portrayed very well on film. As is typical with many Hollywood epics, a small proportion of the what happens during the sinking is historically inaccurate but apart from that it leaves an overwhelming sense of grief upon you. Actually, that grief may be the reason why the film has received so much backlash in recent years, because the first time you see it, men and women will get teary-eyed in the end, but after a number of times it just isn't the same and you wish you were seeing it for the first time instead. All in all, a masterpiece as a standalone disaster film but a tad disappointing as a historically accurate Titanic film. If you wish to see a factual version, the 1958 film A Night to Remember may be more your cup of tea."" ]";2;2.0;2.0;0.0;;7.0;6
